Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
adamantine.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@12,Molten Adamantine Bucket,ExtraTiC:extra.bucket
aerotheum,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.thermalfoundation.bucket@7,Zephyrean Aerotheum Bucket,ThermalFoundation:bucket
aluminum.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@4,Molten Aluminum Bucket,TConstruct:buckets
aluminum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@4,Molten Aluminum Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
aluminumbrass.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@8,Molten Aluminum Brass Bucket,TConstruct:buckets
aluminumbrass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@8,Molten Aluminum Brass Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
alumite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@10,Molten Alumite Bucket,TConstruct:buckets
alumite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@10,Molten Alumite Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
ardite.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@6,Molten Ardite Bucket,TConstruct:buckets
ardite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@6,Molten Ardite Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
bedrockium.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@19,Molten Bedrockium Bucket,ExtraTiC:extra.bucket
bioethanol,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.for.waxCapsuleEthanol@0,Ethanol Capsule,Forestry:waxCapsuleEthanol
bioethanol,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canEthanol@0,Ethanol Can,Forestry:canEthanol
bioethanol,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.for.bucketEthanol@0,Ethanol Bucket,Forestry:bucketEthanol
bioethanol,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryEthanol@0,Ethanol Capsule,Forestry:refractoryEthanol
biofuel,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.mfr.bucket.biofuel@0,BioFuel Bucket,MineFactoryReloaded:bucket.biofuel
biomass,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.for.bucketBiomass@0,Biomass Bucket,Forestry:bucketBiomass
biomass,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.for.waxCapsuleBiomass@0,Biomass Capsule,Forestry:waxCapsuleBiomass
biomass,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.for.canBiomass@0,Biomass Can,Forestry:canBiomass
biomass,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.for.refractoryBiomass@0,Biomass Capsule,Forestry:refractoryBiomass
blood,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@16,Bucket o' Blood,TConstruct:buckets
blood,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@16,Clay Bucket o' Blood,IguanaTweaksTConstruct:clayBucketsTinkers
blutonium.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@17,Molten Blutonium Bucket,ExtraTiC:extra.bucket
brass.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@11,Molten Brass Bucket,ExtraTiC:extra.bucket
brine,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.BrineBucket@0,Brine Bucket,Mekanism:BrineBucket
bronze.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@7,Molten Bronze Bucket,TConstruct:buckets
bronze.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@7,Molten Bronze Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
chocolatemilk,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.mfr.bucket.chocolatemilk@0,Chocolate Milk Bucket,MineFactoryReloaded:bucket.chocolatemilk
coal,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.thermalfoundation.bucket@6,Liquifacted Coal Bucket,ThermalFoundation:bucket
cobalt.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@5,Molten Cobalt Bucket,TConstruct:buckets
cobalt.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@5,Molten Cobalt Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
copper.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@2,Molten Copper Bucket,TConstruct:buckets
copper.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@2,Molten Copper Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
creosote,1000,1xitem.for.canEmpty@0,Can,Forestry:canEmpty,1xitem.railcraft.fluid.creosote.can@0,Creosote Can,Railcraft:fluid.creosote.can
creosote,1000,1xitem.glassBottle@0,Glass Bottle,minecraft:glass_bottle,1xitem.railcraft.fluid.creosote.bottle@0,Creosote Bottle,Railcraft:fluid.creosote.bottle
creosote,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.railcraft.fluid.creosote.bucket@0,Creosote Bucket,Railcraft:fluid.creosote.bucket
creosote,1000,1xitem.for.refractoryEmpty@0,Refractory Capsule,Forestry:refractoryEmpty,1xitem.railcraft.fluid.creosote.refactory@0,Creosote Capsule,Railcraft:fluid.creosote.refactory
creosote,1000,1xitem.for.waxCapsule@0,Wax Capsule,Forestry:waxCapsule,1xitem.railcraft.fluid.creosote.wax@0,Creosote Capsule,Railcraft:fluid.creosote.wax
cryotheum,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.thermalfoundation.bucket@4,Gelid Cryotheum Bucket,ThermalFoundation:bucket
dark.steel.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.extratic.bucket@9,Molten Dark Steel Bucket,ExtraTiC:extra.bucket
electrum.molten,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.tconstruct.bucket@22,Molten Electrum Bucket,TConstruct:buckets
electrum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,Fired Clay Bucket,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@22,Molten Electrum Clay Bucket,IguanaTweaksTConstruct:clayBucketsTinkers
element.ac,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ac
element.ac,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@89,Actinium,minechem:minechemElement
element.ag,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ag
element.ag,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@47,Silver,minechem:minechemElement
element.al,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.al
element.al,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@13,Aluminium,minechem:minechemElement
element.am,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.am
element.am,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@95,Americium,minechem:minechemElement
element.ar,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ar
element.ar,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@18,Argon,minechem:minechemElement
element.as,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.as
element.as,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@33,Arsenic,minechem:minechemElement
element.at,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.at
element.at,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@85,Astatine,minechem:minechemElement
element.au,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.au
element.au,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@79,Gold,minechem:minechemElement
element.b,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.b
element.b,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@5,Boron,minechem:minechemElement
element.ba,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ba
element.ba,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@56,Barium,minechem:minechemElement
element.be,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.be
element.be,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@4,Beryllium,minechem:minechemElement
element.bh,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.bh
element.bh,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@107,Bohrium,minechem:minechemElement
element.bi,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.bi
element.bi,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@83,Bismuth,minechem:minechemElement
element.bk,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.bk
element.bk,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@97,Berkelium,minechem:minechemElement
element.br,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.br
element.br,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@35,Bromine,minechem:minechemElement
element.c,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.c
element.c,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@6,Carbon,minechem:minechemElement
element.ca,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ca
element.ca,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@20,Calcium,minechem:minechemElement
element.cd,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cd
element.cd,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@48,Cadmium,minechem:minechemElement
element.ce,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ce
element.ce,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@58,Cerium,minechem:minechemElement
element.cf,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cf
element.cf,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@98,Californium,minechem:minechemElement
element.cl,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cl
element.cl,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@17,Chlorine,minechem:minechemElement
element.cm,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cm
element.cm,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@96,Curium,minechem:minechemElement
element.cn,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cn
element.cn,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@112,Copernicium,minechem:minechemElement
element.co,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.co
element.co,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@27,Cobalt,minechem:minechemElement
element.cr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cr
element.cr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@24,Chromium,minechem:minechemElement
element.cs,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cs
element.cs,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@55,Caesium,minechem:minechemElement
element.cu,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.cu
element.cu,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@29,Copper,minechem:minechemElement
element.db,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.db
element.db,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@105,Dubnium,minechem:minechemElement
element.ds,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ds
element.ds,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@110,Darmstadtium,minechem:minechemElement
element.dy,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.dy
element.dy,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@66,Dysprosium,minechem:minechemElement
element.er,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.er
element.er,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@68,Erbium,minechem:minechemElement
element.es,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.es
element.es,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@99,Einsteinium,minechem:minechemElement
element.eu,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.eu
element.eu,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@63,Europium,minechem:minechemElement
element.f,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.f
element.f,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@9,Fluorine,minechem:minechemElement
element.fe,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.fe
element.fe,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@26,Iron,minechem:minechemElement
element.fm,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.fm
element.fm,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@100,Fermium,minechem:minechemElement
element.fr,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.fr
element.fr,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@87,Francium,minechem:minechemElement
element.ga,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ga
element.ga,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@31,Gallium,minechem:minechemElement
element.gd,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.gd
element.gd,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@64,Gadolinium,minechem:minechemElement
element.ge,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ge
element.ge,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@32,Germanium,minechem:minechemElement
element.h,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.h
element.h,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@1,Hydrogen,minechem:minechemElement
element.he,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.he
element.he,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@2,Helium,minechem:minechemElement
element.hf,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.hf
element.hf,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@72,Hafnium,minechem:minechemElement
element.hg,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.hg
element.hg,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@80,Mercury,minechem:minechemElement
element.ho,1000,1xitem.bucket@0,Bucket,minecraft:bucket,1xitem.minechemBucket@0,Chemical Bucket,minechem:minechemBucket.element.element.ho
element.ho,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@67,Holmium,minechem:minechemElement
element.hs,125,1xitem.itemElement@0,Empty Tube,minechem:minechemElement,1xitem.itemElement@108,Hassium,minechem:minechemElement
