Ore Name,ItemStack,Item ID,Display Name,Wildcard
alloyAdvanced,1xitem.EnrichedAlloy@0,Mekanism:EnrichedAlloy,Enriched Alloy,false
alloyBasic,1xitem.redstone@0,minecraft:redstone,Redstone,false
alloyElite,1xitem.ReinforcedAlloy@0,Mekanism:ReinforcedAlloy,Reinforced Alloy,false
alloyUltimate,1xitem.AtomicAlloy@0,Mekanism:AtomicAlloy,Atomic Alloy,false
alumiteRod,1xitem.tconstruct.ToolRod@15,TConstruct:toolRod,Alumite Tool Rod,false
antiBlock,1xtile.chisel.antiBlock@0,chisel:antiBlock,Anti Block,false
arditeRod,1xitem.tconstruct.ToolRod@11,TConstruct:toolRod,Ardite Tool Rod,false
bEnderAirBottle,1xitem.manaResource@15,Botania:manaResource,Ender Air Bottle,false
bFlask,1xitem.vial@1,Botania:vial,Alfglass Flask,false
bPlaceholder,1xitem.manaResource@11,Botania:manaResource,Crafting Placeholder,false
bRedString,1xitem.manaResource@12,Botania:manaResource,Red String,false
bVial,1xitem.vial@0,Botania:vial,Managlass Vial,false
barsIron,1xtile.blockDarkIronBars@0,EnderIO:blockDarkIronBars,Dark Iron Bars,false
battery,1xitem.EnergyTablet@100,Mekanism:EnergyTablet,Energy Tablet,false
beeComb,1xitem.for.beeCombs@32767,Forestry:beeCombs,(wildcard),true
blockAluminium,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminiumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAluminum,1xtile.tconstruct.metalblock@6,TConstruct:MetalBlock,Block of Aluminum,false
blockAluminumBrass,1xtile.tconstruct.metalblock@7,TConstruct:MetalBlock,Block of Aluminum Brass,false
blockAlumite,1xtile.tconstruct.metalblock@8,TConstruct:MetalBlock,Block of Alumite,false
blockAndesite,1xtile.chisel.andesite@0,chisel:andesite,Andesite,false
blockApatite,1xtile.for.resourceStorage@0,Forestry:resourceStorage,Block of Apatite,false
blockArdite,1xtile.tconstruct.metalblock@1,TConstruct:MetalBlock,Block of Ardite,false
blockBlaze,1xtile.blazeBlock@0,Botania:blazeBlock,Blaze Lamp,false
blockBlutonium,1xtile.brMetal.0@3,BigReactors:BRMetalBlock,Blutonium Block,false
blockBronze,1xtile.thermalfoundation.storage@9,ThermalFoundation:Storage,Bronze Block,false
blockBronze,1xtile.for.resourceStorage@3,Forestry:resourceStorage,Block of Bronze,false
blockBronze,1xtile.tconstruct.metalblock@4,TConstruct:MetalBlock,Block of Bronze,false
blockBronze,1xtile.BasicBlock@1,Mekanism:BasicBlock,Bronze Block,false
blockCarpet,1xtile.chisel.carpet_block@0,chisel:carpet_block,Carpet,false
blockCharcoal,1xtile.BasicBlock@3,Mekanism:BasicBlock,Charcoal Block,false
blockCloth,1xtile.cloth@32767,minecraft:wool,(wildcard),true
blockClothRock,1xtile.thermalexpansion.rockwool@32767,ThermalExpansion:Rockwool,(wildcard),true
blockCoal,1xtile.blockCoal@0,minecraft:coal_block,Block of Coal,false
blockCoal,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalBlack,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoalBlue,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoalBrown,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoalCyan,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoalGray,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoalGreen,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoalLightBlue,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoalLightGray,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoalLime,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoalMagenta,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoalOrange,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoalPink,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoalPurple,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoalRed,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoalWhite,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalYellow,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCobalt,1xtile.tconstruct.metalblock@0,TConstruct:MetalBlock,Block of Cobalt,false
